Обычный','Нильфгаард','KingOfYourAss','Нильфгаард','Победа','2:1
Обычный','Нильфгаард','James_Fredric','Королевства Севера','Победа','2:0
Обычный','Нильфгаард','WerWolf2205','Чудовища','Победа','2:0
Обычный','Нильфгаард','cezarion1643','Нильфгаард','Поражение','0:2
Обычный','Нильфгаард','MathieuDeRiv','Королевства Севера','Победа','2:1
Обычный','Нильфгаард','Vadim158','Скеллиге','Победа','2:0
Обычный','Королевства Севера','Szivacs_Kap','Нильфгаард','Поражение','1:2
Обычный','Королевства Севера','olacrez','Королевства Севера','Поражение','0:2
Обычный','Королевства Севера','funhell','Нильфгаард','Поражение','0:2
Обычный','Королевства Севера','pyon-pyon','Чудовища','Поражение','1:2
Обычный','Королевства Севера','ClayTr0n','Нильфгаард','Победа','2:1
Обычный','Королевства Севера','bnm22110','Скоя’таэли','Победа','2:0
Обычный','Королевства Севера','Sincondo45','Королевства Севера','Поражение','0:2
Обычный','Королевства Севера','Rubinhokakashi','Нильфгаард','Поражение','1:2
Обычный','Нильфгаард','psgurton','Нильфгаард','Поражение','1:2
Обычный','Нильфгаард','AhMrLee','Нильфгаард','Поражение','1:2
Обычный','Нильфгаард','kcyeu','Чудовища','Победа','2:0
Обычный','Нильфгаард','Dronqo','Нильфгаард','Победа','2:1
Обычный','Нильфгаард','나말고니가와','Нильфгаард','Победа','2:0
Обычный','Нильфгаард','nanbun','Нильфгаард','Победа','2:1
Обычный','Нильфгаард','robtion','Скоя’таэли','Победа','2:1
Обычный','Нильфгаард','Beerbeer007','Чудовища','Победа','2:0
Обычный','Нильфгаард','魔法少女叶奈法','Нильфгаард','Победа','2:0
Обычный','Королевства Севера','89231904696','Нильфгаард','Победа','2:0
Обычный','Королевства Севера','Novaa974','Чудовища','Победа','2:0
Обычный','Королевства Севера','Sevilla662','Королевства Севера','Поражение','0:2
Обычный','Королевства Севера','LordeD.','Скоя’таэли','Победа','2:0
Обычный','Королевства Севера','我老婆最可爱','Скеллиге','Победа','2:0
Обычный','Королевства Севера','Henning_Hammoor','Нильфгаард','Победа','2:1
Обычный','Королевства Севера','Robsman','Нильфгаард','Поражение','1:2
Обычный','Королевства Севера','LkLkLkLLL','Синдикат','Победа','2:0
Обычный','Королевства Севера','TheeInnerlight','Королевства Севера','Победа','2:1
Обычный','Королевства Севера','JonhWCort','Королевства Севера','Победа','2:0
Обычный','Королевства Севера','Za_Zu_Ada','Нильфгаард','Победа','2:1
Обычный','Королевства Севера','pierdze','Чудовища','Победа','2:1
Обычный','Королевства Севера','tatos12','Королевства Севера','Победа','2:0
Обычный','Королевства Севера','Seledka.','Королевства Севера','Победа','2:0
Обычный','Королевства Севера','Vogelvrij','Королевства Севера','Победа','2:1
Обычный','Королевства Севера','Beliy-','Скоя’таэли','Победа','2:0
Обычный','Королевства Севера','kolozs89','Королевства Севера','Победа','2:0
Обычный','Королевства Севера','Mr_JCR487','Чудовища','Победа','2:1
Обычный','Королевства Севера','MaksimValeev','Скоя’таэли','Победа','2:0
Обычный','Королевства Севера','yuzhaoqiang','Нильфгаард','Победа','2:1
Обычный','Королевства Севера','CatalinCT','Нильфгаард','Поражение','1:2
Обычный','Нильфгаард','ClydeFrog02D3','Скоя’таэли','Победа','2:0
Обычный','Нильфгаард','-Pharaoh-','Нильфгаард','Поражение','1:2
Обычный','Нильфгаард','IAROSLAV87','Нильфгаард','Победа','2:0
Обычный','Нильфгаард','PROSzwagier','Нильфгаард','Ничья','1:1
Обычный','Нильфгаард','neimad_fr','Нильфгаард','Победа','2:0
Обычный','Нильфгаард','MacGab','Скеллиге','Победа','2:0
Обычный','Нильфгаард','capobear','Нильфгаард','Победа','2:1
